"구급차 막아선 택시기사 ""사고 수습하라""… ""환자 사망"" 국민청원","     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
"""인종차별 너무하잖아""… 중국 맥도날드 ""흑인 출입금지"" 논란","신종 코로나바이러스 감염증 확산을 막는다는 이유로 흑인 출입을 거부한 중국 맥도날드가 인종차별 논란에 결국 고개를 숙였다.14일 미국 USA투데이에 따르면 중국 광둥성 광저우시에 있는 맥도날드는 최근 흑인 출입금지 표지판을 세웠다.	 문제의 표지판에는 ""흑인은 출입할 수 없다.	 불편한 점을 이해해달라""는 내용이 적혀 있었다.	논란이 커지자 맥도날드 중국 지사는 이날 성명을 내고 ""우리의 포괄적인 가치를 대표하는 것은 아니다.	 해당 지점 직원과 관리자들이 교육을 받게 될 것""이라고 밝혔다.	표지판은 현재 철거됐고 해당 지점도 일시적으로 문을 닫았다.	CNN과 BBC 등에 따르면 최근 광저우시에서는 나이지리아 국적 외국인 5명이 코로나19 확진 판정을 받자 흑인에 대한 거부감이 커져 식당 출입을 막는 일이 늘아나고 있다.	중국 정부도 모든 흑인에게 해외 입출국 이력과 상관없이 의무검사와 검역을 받도록 했다.	 불응 시 경찰에 연행될 수 있다.	중국 주재 미국 총영사관은 중국에 거주하는 아프리카계 미국인에게 ""추가 통보가 있을 때까지 광저우 중심가를 피할 것을 권고한다""고 밝혔다."
"전국 곳곳서 ""몰래 영업"" 속출… 막을 방법 없나",대구경찰청에 따르면 이 업소는 간판 불은 끄고 지하 식당 문을 잠근 채 단체손님을 받았으며 이런 방식으로 계속 영업을 해왔다.
"""한국 교민을 구하라""… 세계 곳곳에 전세기 띄운다","신종 코로나바이러스 감염증이 전세계 곳곳으로 확산되고 있다.	 이에 세계 각국은 국경 문을 차단하고 코로나19로부터의 방어 작전에 들어갔다.	이 같은 상황에서 우리 정부는 타지에 머무는 교민들을 데려오기 위해 노력 중이다.	 특히 전세기를 띄워 교민들의 안전을 지키기 위해 힘쓰고 있다.	 앞서 정부는 지난달에도 코로나19 근원지인 우한에 체류 중인 교민을 위해 세차례에 걸쳐 전세기를 보낸바 있다.20일까지 정부는 어느 국가에 전세기를 투입했을까?	 < >가 정리해봤다.	정부는 이탈리아에 있는 교민 570여명의 귀국을 지원하기 위해 임시 항공편 2대를 투입하기로 했다.	외교부 고위 당국자는 이날 ""이탈리아는 당초 재외국민 한인회를 중심으로 항공사와 직접 임시 항공편을 조율하려고 했는데 어려움이 있어 정부가 주선하는 임시 항공편으로 추진토록 했다""고 말했다.	 투입 시점에 대해서는 아직 계약 체결로 진전되지 않았다고 당국자는 전했다.	현재 밀리노총영사관 관할 지역에 421명, 로마의 주이탈리아대사관 관할 지역에 150명 등 471명이 귀국을 원하는 것으로 확인됐다.	 정부는 현지에서 항공편이나 교통편을 이용할 수 있는 경우 최대한 지원하고 여의치 않으면 마지막 수단으로 정부가 지원하는 임시 항공편을 투입한다는 방침을 세우고 있다.	한편 이탈리아 확진자는 이날 기준 총 4만1035명이다.	 코로나19 확산으로 이란에서 1000여명의 사망자가 발생한 가운데 현지 체류 중인 교민 80여명이 아시아나항공 전세기편으로 전날 귀국했다.	이란 재외국민들은 아시아나항공 전세기에 탑승하기 위해 이란 항공편으로 두바이까지 이동했다.	 그동안 국적기의 이란 직항노선이 없었고, 대이란 제재로 인한 보험 문제 등도 걸림돌이 됐기 때문.	 외교부는 신속대응팀과 협업해 이란 교민들의 전세기 탑승을 지원했다.	이번 아시아나항공 전세기의 항공권은 중국 우한 교민이 철수할 때와 마찬가지로 개인이 부담했다.	 편도 기준 1인당 자기 부담액은 ▲성인 100만원 ▲소아 75만원 ▲동반 유아 10만원이다.	인천공항에 귀국한 이란 재외국민 80여명은 경기도 성남에 위치한 코이카 연수시설에서 코로나19 검사를 받았다.	 정부가 대통령 전용기를 띄운 적도 있다.	 수많은 코로나19 확진자가 발생한 크루즈선 ‘다이아몬드 프린세스’호 내 우리 국민 중 귀국 희망자 6명과 일본인 배우자 1명을 이송하기 위해서였다.	대통령 전용기는 지난달 19일 한국인 6명과 일본인 배우자 1명을 태운 뒤 오전 6시27분 김포공항에 도착했다.	 당시 탑승했던 이들은 한국행을 위해 크루즈선에서 하선해 도쿄 하네다공항으로 이동했다.	 본국에서 파견된 의료팀은 귀국자들의 건강상태를 확인했다.	한편 ‘다이아몬드 프린세스’호에는 당시 한국인이 총 14명 탑승한 상태였다.	 코로나19 발원지인 중국 우한시와 인근 지역에 고립됐던 우리 교민들은 지난 1월부터 지난달 초까지 임시항공편을 타고 국내에 도착했다.	 당시 1·2·3차 전세기를 통해 입국한 우한 교민은 약 850여명이었다.	정부는 중국과 한국 의료진의 검역을 통과한 이들만 전세기에 태웠으며 경찰 버스로 충남 아산과 충북 진천의 임시 시설로 교민들을 이송했다.	 우한 전세기 탑승 비용은 ▲성인 30만원 ▲소아 22만5000원 ▲유아 3만원이었다.	정부는 갑작스럽게 국경이 봉쇄되고 항공편이 끊긴 지역에 있는 한국 여행객과 코이카 봉사단원의 귀국 지원에도 힘을 쏟고 있다.	페루에 있는 한국 여행객을 위해선 현지 항공사와 협의해 임시 항공편을 지원하는 형태로 협의를 진행 중이다.	 페루에는 한국 여행객 177명 중 162명의 귀국을 희망한 것으로 집계됐다.	 코이카 봉사단원을 합하면 250여명이다.	국경이 봉쇄된 칠레에는 우리 국민 57명과 코이카 봉사단원의 발이 묶였다.	 현재 주칠레 대사관이 현장 지원반을 만들어 대응 중이다.	 아르헨티나 대사관도 대체 항공편 마련을 지원하고 있다.	국경이 폐쇄된 온두라스 지역에서는 코이카 봉사단원 15명, 관광객 2명이 출국을 원하고 있다.	 외교부는 온두라스 정부에 예외 인정을 교섭 중이며, 수도에 집결해 전세버스를 타고 니카라과로 이동하는 방안을 논의하고 있다.	에콰도르에도 코이카 봉사단원을 포함해 76명이 귀국을 희망하고 있다.	 외교부는 현지에 임시 항공편을 수배해 인근 멕시코시티까지 이동하고 멕시코시티에서 귀국하는 편으로 주선하고 있다.	항공편이 중단된 모로코에는 우리 국민 57명과 코이카 봉사단원 등의 귀국 수요가 있어 모로코 정부와 협의해 영사 조력을 제공 중이다.	필리핀은 루손섬 봉쇄 후 72시간 내에만 외국인 출국을 허용하겠다는 방침을 철회하며 숨통이 트였다.	 외교부는 항공사가 필리핀행 항공편을 증편하는 방식으로 귀국을 지원하고, 일부 지역에 일시적으로 고립된 여행객에 대해선 영사 조력을 통해 이동을 돕기로 했다."
"현직 경찰관 ""강간사건 CCTV 은닉"" 혐의… 2심도 무죄",자신이 맡은 사건의 증거영상을 임의로 편집하고 수사기록에서 누락한 혐의로 재판에 넘겨진 현직 경찰이 2심에서도 무죄를 선고받았다.
중국산 마스크 107만장 국산으로 속이려 한 일당 ‘검찰 송치’,중국산 마스크 100만여장을 국산이라고 속인 뒤 판매하려한 일당이 경찰에 붙잡혔다.	전북지방경찰청은 28일 대외무역법 위반 혐의로 A씨를 구속하고 B씨 등 2명을 불구속 기소의견으로 검찰에 송치했다고 밝혔다.	A씨 등은 중국에서 마스크 107만장을 수입한 뒤 국산으로 속여 시중에 유통하려 한 혐의를 받는다.	이들은 중국산 마스크를 1장당 50원에 수입한 뒤 유통업체에 198원씩 재판매 하려 한 것으로 확인됐다.	이 같은 사실을 파악한 경찰은 A씨 등을 검거한 뒤 이들이 보관하고 있던 마스크 107만장 중 대부분을 회수했다.	경찰 관계자는 “코로나19 국가적 위기에서 마스크 시장 공급상황을 악용하는 불법행위에 엄정대응하겠다”며 “이들에 대한 여죄를 수사하고 있다”고 말했다.
"텔레그램 박사방 ‘이기야’ 이원호 일병, 법정 선다",‘텔레그램 박사방’ 핵심 운영자인 ‘이기야’ 이원호 일병이 구속 기소됐다.	군 검찰은 지난 1일 이원호를 성폭력방지법 위반 및 아동청소년성보호법 위반 등의 혐의로 재판에 넘긴 것으로 전해졌다.	‘이기야’로 알려진 이원호는 조주빈이 운영한 박사방에서 참여자를 모으고 성착취물을 제작·유포한 혐의를 받는다.	 그는 지난달 초 군사경찰에 긴급체포되기 직전까지 거의 매일 텔레그램방에서 활동한 것으로 드러났다.	군사경찰은 지난달 3일 이원호를 긴급체포하고 구속영장을 신청했다.	 영장 발부 후 지난달 13일 군 검찰로 보냈고 군 검찰은 지난 4월21일 구속기간을 연장했다.	이원호의 재판은 수도방위사령부 보통군사법원에서 진행된다.	 2~3주 뒤나 이달 말을 전후로 재판이 진행될 것으로 예상된다.	특별한 상황이 없는 한 재판은 공개될 것으로 보인다.	 군은 이날 정례브리핑에서 “재판은 신청하면 볼 수 있을 것으로 생각한다”고 설명했다.	군 당국은 지난달 28일 신상공개위원회를 열고 이원호의 신상공개를 결정했다.	 군이 신상공개를 결정한 것은 이번이 처음이다.	 텔레그램 n번방 관련해 조주빈과 강훈에 이어 세번째로 신상이 공개됐다.
"""자꾸 나무라잖아""… 모친 장난감 총 폭행한 아들 불구속 입건",어머니를 장난감 총으로 폭행한 20대가 불구속 입건됐다.	충북 청주상당경찰서는 17일 어머니를 장난감 총 개머리판으로 폭행한 A씨를 불구속 입건했다고 밝혔다.	경찰에 따르면 A씨는 지난 16일 밤 9시쯤 자신의 집에서 어머니 B씨의 손 등을 장난감 총 개머리판으로 때린 혐의다.	A씨는 어머니가 자신을 나무라자 장난감 총을 휘두른 것으로 알려졌다.	경찰은 B씨를 임시 보호시설로 옮겼다.
"무학산 불, 2시간여만에 진화… 인명 피해는?",무학산에서 산불이 발생했다.	 13일 오전 5시 15분쯤 마산합포구 교방동 무학산 7~8부능선 부근에서 불이 났다.
"도주한 러시아 선원 2명, 제 발로 찾아와… 코로나 영향은?",신종 코로나바이러스 감염증 확진자가 발생한 러시아 선박 미즈로브소바호에서 도주한 러시아 선원 2명이 출입국관리소에 자진출석했다.	부산지방경찰청은 24일 오후 5시30분쯤 도주한 러시아 선원 2명이 출입국관리소에 자진출석했다고 밝혔다.	이들은 이날 오전 10시10분쯤 집으로 돌아가고 싶다는 이유로 부산 사하구의 한 조선소에 정박 중이던 선박에서 나와 사설 경비업체 직원을 제치고 도주했다.	부산출입국·외국인청은 경찰과 협조해 이들을 추적했다.	미즈로브소바호는 지난달 16일 부산 감천항을 통해 입항했다.	 검역 과정에서 선원 2명이 코로나19 확진 판정을 받았다.	 현재 확진자는 모두 완치된 상태다.	선내격리 조치됐던 선원들은 모두 음성 판정을 받고 격리해제 됐다.
박원순 시장 시신 숙정문 인근서 발견… 실종 약 7시간 만(상보),"9일 실종 신고된 박원순 서울시장이 10일 자정을 넘긴 시간쯤 숨진 채 발견됐다.	이날 경찰에 따르면 박 시장의 모습이 마지막으로 포착된 북악산 일대를 수색하던 중 숙정문 인근에서 박 시장의 시신을 발견했다.	박 시장 딸은 전날 오후 5시17분쯤 ""4∼5시간 전 아버지가 유언 같은 이상한 말을 남기고 집을 나갔는데 전화기가 꺼져 있다""고 112에 신고했다."
"고개 든 ""용인 토막살해범"" 유동수 ""할말 없다""","용인 토막 살해사건 피의자 유동수의 얼굴이 공개됐다.	유동수는 5일 오전 8시50분쯤 경기 용인동부경찰서 앞에 모습을 드러냈다.	 중국 국적의 유동수는 이날 검정 점퍼에 슬리퍼 차림으로 나타났다.	 유동수는 '혐의를 인정하냐'는 기자들 질문에 묵묵부답으로 일관했다.	  '피해자에게 할 말이 없냐'는 질문에는 ""할말 없다""며 짧게 답한 뒤 수원지검으로 향하는 호송차에 올랐다.	유동수는 지난달 25일부터 26일까지 내연관계였던 동포 여성 A씨를 처인구 자신의 원룸에서 살해한 후 시신을 훼손해 경안천변 2곳에 유기한 혐의를 받고 있다.	헤어진 A씨가 다른 남성을 만난다는 것을 알고 격노해 범행한 것으로 파악됐다.	경찰은 지난달 27일 유동수를 체포한 후 지속적인 조사를 벌였다.	 그는 조사 내내 묵비권을 행사하며 혐의를 부인했다.	유동수는 10여년 전 재외동포 비자로 입국해 일용직 등으로 생활해오다 A씨를 안 뒤 만남을 가졌던 것으로 알려졌다.	이번 유동수의 신상정보 공개는 김길태, 유영철, 조두순, 강호순, 오원춘, 박춘풍, 김상훈, 김하일, 김성관, 변경석, 김다운, 장대호 등이 특례법에 적용된 사례와 같다.	 특례법에는 중대한 피해가 발생한 특정 강력범죄이고 피의자의 혐의를 입증할 증거가 충분한 경우, 재범방지 및 범죄예방 등 공공의 이익을 위해 필요하다고 판단 될 경우 등을 충족하면 피의자의 얼굴과 이름, 나이 등 신상정보를 공개할 수 있다고 규정하고 있다."
"""1만원 빼앗았다""… 제주 호박밭 살해 사건 피의자 구속",제주국제공항 인근 호박밭에서 30대 여성의 돈을 뺏고 살해한 혐의로 체포된 20대 남성이 구속됐다.	제주지방법원은 3일 강도살해 혐의로 경찰에 입건된 A씨의 구속영장을 발부했다고 밝혔다.	A씨는 지난달 30일 오후 제주시 도두1동 제주민속오일장 후문과 제주국제공항 사이 이면도로 옆 호박밭에서 B씨를 흉기로 찔러 살해한 혐의를 받고 있다.	경찰 조사에서 A씨는 돈이 필요해 차를 타고 오일시장 일대를 배회하던 중 홀로 걷던 피해자를 발견해 접근했다고 진술했다.	A씨가 B씨에게서 빼앗은 현금은 1만원이다.	경찰은 지난달 31일 밭에 여성 시신이 있다는 밭 주인의 신고를 접수한 뒤 같은날 밤 A씨를 긴급체포했다.
[머니S포토] 김창룡 신임 경찰청장의 취임사,"     <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스'  , 무단전재 및 재배포 금지>"
부산서 주차타워 작업중 인부 추락해 숨져,14일 오후 1시5분쯤 부산진구에 있는 부산포민속박물관 주차타워에서 작업인부가 추락해 숨지는 사고가 발생했다.
"성매매 강요한 중학생… 피해자 중 초등학생도 ""충격""","또래 학생들에게 성매매를 알선하고 강요한 10대가 경찰에 붙잡혔다.	 피해자 학생 중에는 초등학생도 있는 것으로 알려져 충격을 안기고 있다.2일 경찰에 따르면 충북 청주흥덕경찰서는 아동·청소년의 성보호에 관한 법률 위반 혐의로 A군 등 2명을 붙잡아 조사 중이다.	이들은 올해 초부터 최근까지 랜덤 채팅 애플리케이션을 통해 불특정 다수에게 성매매를 알선한 혐의를 받는다.	A군 등은 가출한 학생들에게 성매매를 강요하고 성매수 남성으로부터 돈을 받은 것으로 확인됐다.	피해 여학생들은 현재 5명으로 이 중에는 초등학생도 있는 것으로 전해졌다.	경찰은 이들로부터 성매수를 한 성인 남성도 같은 혐의로 붙잡아 조사 하고 있다.	 또 피해 청소년과 성매수자가 더 있을 것으로 보고 수사를 확대하고 있다.	경찰 관계자는 ""2차 피해를 막기 위해 자세한 내용은 알려줄 수 없다""고 말했다."
"""OOO도 강간죄?""… 민주당, 총선공약 발표","더불어민주당이 21대 총선 공약으로 ‘여성폭력 근절대책’을 내놨다.	 가정 폭력, 디지털 성범죄 등 여성 폭력의 뿌리를 뽑아 양성이 서로 존중할 수 있는 사회를 실현하겠다고 밝혔다.	지난 19일 민주당 정책위원회는 '여성폭력 근절대책'을 골자로 하는 국민안전 부문 총선 공약을 공개했다."
"진주시의회, 욕설·막말로 ""파국""… 시민단체 ""진주시의회 해산해야""","더불어민주당 소속 진주시의원 일동은 22일 오전 진주시청 브리핑룸에서  회견을 열어 ""진주시의회의 품격을 해치는 막말과 욕설을 한 무소속 이현욱 의원의 공개 사과를 촉구한다""고 밝혔다.	이들은 ""지난 16일 공무원 채용비리의혹 관련해 행정사무조사특위 본회의 상정을 논의하는 과정에서 A여성의원이 '이현욱 의원은 X-	men이다'고 발언한 것을 두고 이현욱 의원이 의원실 방문을 열고 들어와 ""OO년, OO새끼"" 등 차마 입에 담을 수 없는 욕설을 했다""고 주장했다.	이어 ""시의회에서 상해임시정부 현장 방문시 민주당 모 여성의원에게 'OO년 O을 찢어 버릴라' 등의 차마 입에 담지 못할 욕설을 했다""고 했다.	 민주당의원 등은 지난 2019년 시내버스 증차 관련해 당시 국민의힘 전신인 자유한국당 시의원들과 첨예하게 대립하던 시기에 발생했던 이현욱 의원의 행위에 대해서도 폭로를 이어갔다."
