"""술 안 준다"" 홧김에 모텔 방화, 2명 사망·9명 부상",화재가 난 마포구의 모텔.	 사진| 연합뉴스 서울 마포구 공덕동의 한 3층짜리 모텔 건물 1층에서 25일 오전 2시 39분쯤 화재가 발생해 2명이 숨졌다.	화재로 모텔 안에 있던 주인과 손님 등 15명 가운데 11명이 연기를 흡입하고 화상·타박상을 입어 병원으로 옮겨졌다.	 이 중 2명은 심폐소생술을 받으며 이송됐으나 사망했다.	화재는 1층에서 장기 투숙했던 60대 남성이 모텔 주인과 말다툼을 한 뒤 자신의 방에 불을 지르면서 시작된 것으로 알려졌다.	 이 남성은 모텔 주인에게 술을 달라고 했으나 주지 않자 화가 나서 불을 지른 것으로 전해졌다.	그는 방화 직후 병원에 이송되던 도중 자신이 불을 냈다고 자백해 경찰에 긴급 체포됐다.	 경찰은 이 남성을 현주건조물 방화치사상 혐의로 입건해 범행 경위 등을 조사하고 있다.	소방당국은 차량 31대와 인력 119명을 동원해 오전 3시15분쯤 불길을 잡은 뒤 오전 4시쯤 불을 완전히 껐다.	 경찰과 소방은 정확한 화재 원인과 피해 규모를 조사 중이다.
"골프 중고매매 사기 피해자 급증, 경찰 은행 등은 미온적",  Copyright ⓒ  &
"청호나이스, 50대 남성 생명 구한 플래너에 감사패",  Copyright ⓒ  &
"대구 새마을금고서 직원 2명 숨져, 흉기 휘둔 전직 임원 음독 후 중태",  Copyright ⓒ  &
부산 금정구 한신아파트 화재로 1명 사망,  Copyright ⓒ  &
"백군기 ""정부와 협력 지역경제 뒷받침 대책 마련하겠다""",  Copyright ⓒ  &
"청송교도소 침입 ""생방송"" 유튜브 BJ들, 경찰 내사중","청송교도소 측이 팝콘TV 유저들에게 보낸 문자메시지.	 사진|연합뉴스 청송교도소에 무단 침입해 교도소내에서 생방송을 진행한 동영상 크리에이터들이 경찰 조사를 받게 됐다.	 경북 청송경찰서는 경북북부교정시설 내 건물과 담벼락 등을 무단 촬영하며 실시간 방송으로 내보낸 혐의로 팝콘TV BJ 2명을 내사 중이라고 15일 밝혔다.	 이들은 지난 9일 자동차를 몰고 정문 초소부터 2㎞ 떨어진 청사 입구까지 오가며 건물과 담벼락 등을 무단 촬영하며 시청자 약 800명에게 생방송한 혐의를 받는다.	 또한 초소 경호 관리 직원에게 ""출소자를 데리러 왔다""고 속이고, 방송 중 건물을 가리키며 사형장이라고 거짓 소개하며 독자들에게 후원을 요청했다.	 경찰은 법무부가 고발한 다음 날 자동차 번호판을 추적해 이들 신원을 특정했다.	경찰 관계자는 ""이달 중 출석을 요구했다""며 ""범죄 혐의를 확인한 뒤 혐의 명을 확정해 입건할 방침이다""고 말했다.	 한편 교정 당국은 당일 경비 직원들을 상대로 조사를 진행 중이다.	법무부 교정본부 관계자는 ""아직 조사 중인 사안으로 잘잘못을 가려서 징계에 회부할 것이다""고 전했다."
"화성시, 1인가구 안전망 구축 경찰과 ""맞손""",  Copyright ⓒ  &
"전남경찰, 개인형 이동수단(PM) 안전관리 강화대책 추진",  Copyright ⓒ  &
"광주경찰, 청렴문화 확산 위한 시민청문관 2명 채용",  Copyright ⓒ  &
"이랜드, 랜섬웨어 공격에 TFT 구성 총력 대응",  Copyright ⓒ  &
"이랜드, 랜섬웨어 대응에 TFT 구성",  Copyright ⓒ  &
"""마약 했습니다"" 택시 타고 마약 투약 자수한 40대 남성",  Copyright ⓒ  &
"화순군, 코로나19 무단이탈 자가격리자 1명 고발",  Copyright ⓒ  &
"경기도, 미신고 생활형 숙박업체 의심 40곳 집중 수사",  Copyright ⓒ  &
"친엄마 때려 숨지게 한 세 자매 구속기소 ""채무 갚아달라""며 둔기폭행",  Copyright ⓒ  &
"순천시, 공중 화장실 불법카메라 점검활동 전개",  Copyright ⓒ  &
"완도해경, 선박 출·입항 업무 민간 대행 신고소 폐쇄",  Copyright ⓒ  &
실총기 기반 시뮬레이션 키트와 반동력 발생장치 개발,  Copyright ⓒ  &
"김재규 전남경찰청장, 강진경찰서 방문·현장간담회 개최",  Copyright ⓒ  &
"""전직 야구선수에게 맞아 지적장애인 된 남편"" 엄벌요구 국민청원에 10만명 공분","청원인은 남편이 폭행으로 뇌경막하 출혈 증세를 보여 수술을 받았지만 아이큐 55의 지적장애인이 되었다고 주장했다.	지난 5일 게재된 관련 청원에는 13일만인 18일 오후 4시 현재 총 10만5358명이 동의했다.	청원인은 '한순간에 아이큐 55 지적장애인이 된 저희 남편의 억울함을 풀어주세요'라는 내용으로 청원을 올렸다.	청원인은 ""이 모습을 이상하게 여긴 식당 주인의 신고로 경찰이 왔고, 연락을 받고 현장에 왔던 청원인은 남편이 술에 취해 잠이 든 것으로 생각했다고 말했다.	한편 관련 소식이 알려진 뒤 사건 당시의 CCTV영상이 공개되며 공분을 사고 있다."
대한염업조합 이사장 예비후보·입지자 폭력성 관련 성명서 발표,  Copyright ⓒ  &
"김재규 전남지방경찰청장, 장흥경찰서 현장간담회 개최",  Copyright ⓒ  &
"수원시, 팔달경찰서 신축 공공공지 보상 완료",  Copyright ⓒ  &
"경기도, 자동차 워셔액 불법제조 집중 수사",  Copyright ⓒ  &
아내 살해하고 뻔뻔하게 기자회견에서 오열한 살인범의 두 얼굴,  Copyright ⓒ  &
"""여보 약속 지켰어"" 매일 밤 너구리들에 먹이 주는 ""너구리 아저씨""의 사연 [B급통신]",  Copyright ⓒ  &
"23년간 조현병 앓던 딸 살해한 모친의 비극적 선택 결과 ""4년 실형""",  Copyright ⓒ  &
"몸캠피싱 구제 전문 시큐어앱(Secure App), 피씽 영상 삭제 통해 범죄해결"," 최근 몸캠피싱이 극성을 부리고 있다.	 사생활 영역이 결부된 해당 범죄의 특성상 조사된 수치보다 실제 피해 사례는 더욱 많을 것으로 예상된다.	몸캠피씽이란 인터넷 협박, 핸드폰 해킹, 영상물유포 협박 등 다양한 범죄수법 방법들을 동원한 디지털 범죄다.	 몸캠사기, 동영상유포협박, 영통사기, 영상통화사기, 랜덤채팅사기 등 여러 이름으로 불리는 만큼 범죄가 다양하게 분포되어 있다.	디지털 성범죄인 몸캠피싱은 현재 가장 유의해야 하는 범죄 중 하나로 꼽히고 있는 만큼 각별한 유의가 필요하다.	 몸캠피씽 진행과정은 화상채팅앱에서 음란행위를 유도하고, 해당 장면을 촬영해 영상을 유포하겠다며 협박한다.	 몸캠피씽 조직의 유포협박과 송금요구는 한번 돈을 보낸다고 끝나지 않으며 지속적으로 이뤄지기 때문에 그들의 요구에 순순히 응하는 일 없이 되도록 침착하게 행동하는 것이 피해를 줄이는 일이다.	또한 몸캠피씽을 당한 피해자라면 가급적 빠르게 수사기관에 도움을 요청하고 동시에 영상 유출을 차단하기 위한 수단을 강구해야 하므로 전문 보안업체를 찾아 솔루션을 제공하는 것이 피해를 최소화할 수 있는 방법이다.	한편, 온라인 보안 전문 업체 ‘시큐어앱’은 영상 삭제를 통해 몸캠피싱 범죄를 차단한다고 밝혔다.	시큐어앱은 디지털 성범죄의 패턴을 정확히 파악하여 그에 맞는 차단솔루션을 제공한다.	 이후 유포가 진행되지 않도록 막고 24시간 차후 모니터링 서비스를 통해 자칫 2차, 3차 피해로 번질 수 있는 경우를 차단한다.	또, 영상이 유포될 수 있는 루트 자체를 차단해 변수에 완벽히 대응하고 있다.	 현재 시큐어앱은 피해자들을 위해 365일 24시간 연중무휴로 유포차단솔루션을 공급하고 있으며 점점 늘고 있는 피해자를 고려해 인력을 보충하고, 즉각적인 대응을 펼치고 있다.	시큐어앱 보안팀의 한 관계자는 “몸캠 협박에 당했다면 협박범에 대응할 것이 아니라 보다 신속히 보안 업체와 경찰에 알려 도움을 구해야 한다”며 “빠르게 악성코드를 분석해 유포를 차단할 수 있는 솔루션과 기술력을 가지고 보안 업체를 고르는 것도 중요하다”고 조언했다."
"목포시, 세분화 사회적 거리두기 1단계 시행",  Copyright ⓒ  &
"임병택 시흥시장, 시흥 배곧 신성장 거점 도약 나서...""입지 조건 최적에 해당""",  Copyright ⓒ  &
"대법원, 이자명목으로 10대에 성관계 요구 ""위력에 의한 간음"""," 미성년자에게 돈을 빌려주고 이자 명목으로 성관계를 요구한 군인의 성폭행 혐의를 무죄로 본 군사법원의 판결에 대법원이 제동을 걸었다.	대법원 3부는 A씨의 아동·청소년의 성보호에 관한 법률 위반 혐의를 무죄로 판결한 원심을 깨고 사건을 고등군사법원에 돌려보냈다고 15일 밝혔다.	A씨는 2019년 7월 '조건 만남'으로 알게 된 10대 B양에게 돈을 빌려준 뒤 상환 연체에 대한 이자를 명목으로 성관계를 요구했다.	 A씨는 B양의 집사진을 찍어서 메시지로 보내고 계속 전화를 걸어 압박하다 경찰에 체포됐다.	군검찰은 A씨가 '위력'으로 B양에게 성관계를 강요했다고 보고 아청법상 위계 등 간음 혐의를 적용해 재판에 넘겼다.	 이 혐의는 속임수 또는의사를 제압하는 유·무형의 힘으로 아동·청소년과 성관계를 맺은 경우에 적용된다.	고등군사법원은 A씨의 위계 등 간음 혐의를 무죄로 판단하고 변경된 죄명인 강요미수죄를 유죄로 인정했다.	 A씨가 이자 명목으로 B양과 성관계를맺으려 한 것으로 보이지만, 구체적인 시간과 장소를 약속하지는 않은 점에 비춰볼 때 '막연한 생각'에 그쳤다는 이유에서다.	고등군사법원은 ""피고인이 피해자에게 위력을 행사할 당시 피해자를 간음하는 것에 대해 막연하게 생각했을 뿐 실제로 간음 행위에 이르기 위한구체적인 계획이나 의도를 드러냈다고 보기는 어렵다""고 판시했다.	그러나 대법원은 ""시간과 장소를 정하지 않았다는 사실이 범행 계획이 구체적인지 또는 피고인의 행위가 성관계를 위한 수단이었는지를 판단하는데 중요한 사항이라고 보기 어렵다""며 원심을 파기했다.	또한 ""피고인은 피해자의 입장에서 성관계를 결심하게 될 중요한 동기에 대해 피해자의 자유의사를 제압할 만한 위력을 행사했다고 볼 수 있다""고지적했다.	한편 A씨는 B양과 '조건 만남'을 한 혐의에 대해서는 군사법원에서 유죄를 선고받았고 대법원도 원심 판단을 유지했다."
"코로나19 신규 확진 208명, 이틀 연속 200명대 ...확산세 가파라","14일 오후 서울 영등포구 여의도공원 앞에서 전국노동자대회가 열려 방역복을 입은 경찰이 만일의 사태에 대비하고 있다.	 사진| 연합뉴스 수도권을 비롯한 전국 곳곳에서 '일상 감염'으로 국내 신종 코로나바이러스 감염증 확산세가 두드러지며 15일 신규 확진자는 208명으로,이틀 연속 200명대를 기록했다.	 중앙방역대책본부는 이날 0시 기준 코로나19 신규 확진자가 208명 늘어 누적 2만8546명이라고 밝혔다.	 신규 확진자는 전날보다 3명 늘어 이틀 연속 200명대를 나타냈다.	 통상 주말과 휴일에는 코로나19 검사 건수가 평일의 절반 수준으로 대폭 줄어드는데도 세 자릿수를 기록했다.	 신규 확진자는 지난 8일 이후 8일 연속 세 자릿수 증가세를 이어갔다.	이날 신규 확진자 208명의 감염 경로를 보면 지역발생이 176명, 해외유입이 32명이다.	  최근 보름간 3차례를 제외하고는 모두 100명을 넘어섰고 200명대도 이틀이나 됐다."
"""한동훈 독직폭행"" 정진웅 차장검사 이번주 첫 재판","한동훈 검사장.	 사진| 연합뉴스 한동훈 검사장에 대한 '몸싸움 압수수색'으로 재판에 넘겨진 정진웅 광주지검 차장검사의 첫 재판이 이번 주 열린다.	서울중앙지법 형사합의22부는 오는 20일 독직폭행 혐의로 기소된 정 차장검사의 공판준비기일을 진행한다.	공판준비기일은 피고인의 출석 의무가 없어 정 차장검사가 직접 출석할 가능성은 적다.	정 차장검사는 지난 7월 이동재 전 채널A 기자의 강요미수 사건과 관련해 한 검사장의 휴대전화 유심칩을 압수수색하다 그를 폭행한 혐의를 받고 있다.	한 검사장은 사건 발생 직후 서울고검에 정 차장검사를 독직폭행 혐의로 고소했고, 정 차장검사는 한 검사장이 압수수색을 방해했다고 주장해 논란을 빚었다.	독직폭행 혐의는 검사나 경찰 등이 직무수행 과정에서 권한을 남용해 피의자 등을 폭행하거나 가혹행위를 하는 경우에 적용된다.	 단순 폭행보다 죄질이 무거워 5년 이하의 징역과 10년 이하의 자격정지에 처한다.	이날 첫 재판에서는 정 차장검사 측 입장을 확인하고 사건에 대한 증거조사 계획을 세우는 절차가 진행될 예정이다.	한편 강요미수 혐의로 재판에 넘겨진 이 전 기자에 대한 속행 공판도 오는 16일 열린다.	 이 재판은 '검언유착' 의혹을 언론에 처음 제보한 이른바 '제보자X' 지모씨가 증인 출석 요구에 거듭 불응하면서 공전하고 있다."
"코로나19로 강제휴직 항공사 승무원 사망, 유족 ""경제적으로 압박 심했다""",  Copyright ⓒ  &
"659억원 메가 로또 당첨됐던 23세 청년, 7년 만에 달라진 인생 주목",  Copyright ⓒ  &
"경기도, 소방재난본부 A팀장 중징계·고발 요청",  Copyright ⓒ  &
"여수시, 어린이보호구역 교통안전시설물 확충 나서",  Copyright ⓒ  &
"목포시, ""마스크 착용 강조 릴레이 캠페인"" 전개",  Copyright ⓒ  &
"2021년에도 계속되는 비대면 디지털 성범죄, 몸캠피싱 주의보"," 코로나바이러스 감염증의 장기화로 강력범죄 및 전체 범죄가 감소하는 반면에 비대면 사이버 범죄는 점점 증가할 것이라는 전망이다.	 특히 실내 체류기간이 길어지며, 온라인 환경에 노출되는 시간 증가로 몸캠피싱, 녹화영상유포 등의 치밀한 디지털 성범죄가 갈수록 극성을 부리고 있어 주의가 요구된다.	 실제로 경찰대학 치안정책연구소에서 발간한 '치안전망 2021'에 따르면 지난 5년간 112신고 건수는 1900만 건 가량을 꾸준히 유지했지만, 코로나19의 본격 확산 이후 전년 대비 44만 건 정도가 감소한 것으로 나타났다.	 이와 달리 4일 전남경찰청 조사 결과, 전남 지역 몸캠피싱 발생 건수는 2019년 50건에서 지난해 97건으로 2배 가까이 늘었으며 전국 발생 현황도 2015년 102건에서 2019년 1824건으로 4년 새 17.8배나 증가한 수치를 기록했다.	  몸캠피싱은 동영상유포협박과 휴대전화 해킹이 결합된 범죄를 뜻한다.	 랜덤채팅앱이나 SNS 등을 이용해 피해자에게 접근한 뒤, 영상통화로 음란행위를 유도해 이를 녹화한다.	 채팅 중에는 영상통화 품질을 개선한다며 ‘허위 프로그램’을 발송하는데, 프로그램을 설치하는 순간 악성코드가 설치된다.	  이를 통해 스마트폰에 저장된 정보를 확보하고 피해자의 음란행위 영상을 피해자 가족 및 지인에게 유포하겠다고 협박해 금품을 빼앗는 것이 대표적인 수법이다.	 점점 악랄하고 지능적인 범죄 수법으로 발전한 디지털 성범죄는 최근 성인 뿐만 아니라 청소년, 초등학생들까지 피해를 입으면서 심각한 사회적 문제가 되고 있다.	 코로나 여파로 청소년들의 스마트 기기 사용시간이 증가하자 사이버 범죄에 노출될 가능성도 함께 커지는 것.	 아직 성적 정체성과 가치관이 제대로 정립되지 않은 청소년, 초등학생 피해자들은 자신을 성적 요구 대상으로 삼는 협박범에게 금전적 피해뿐 아니라 정신적 피해까지 입게 된다.	 게다가 어린 학생들은 수치심과 두려움으로 인해 주변에 알리지 않고 혼자서 고민하다 극단적 선택을 생각하는 경우도 적지 않다.	   디지털성범죄 전문 대응 기업 라바웨이브 김태원 팀장은 “코로나19로 인해 집에서 오랜 시간을 보내야 하는 이들이 성매매 등의 범죄 수단으로 악용되는 랜덤채팅 유혹에 쉽게 빠지는 경우가 많다”며 “만약 이미 몸캠피싱 피해를 입었다면 신속히 경찰에 신고하고 전문 보안업체를 찾아 영상이 유포되거나 금품을 빼앗기는 등의 피해를 막는 것이 중요하다”고 덧붙였다.	한편, 지난 2015년 설립된 디지털 성범죄 전문 기업 라바웨이브는 핵심 기술인 LAVAR CS시스템을 활용해 몸캠피싱 등 디지털 성범죄 피해자를 구제하는 데 앞장서고 있다.	 긴급 대응이 필요한 피해자들을 위해 IT보안전문가, 상담전문가들로 구성된 상담팀이 24시간 대기해 언제나 상담이 가능하다."
"용인시, 돌봄 사각해소 아동 6062명 대상 실태조사",  Copyright ⓒ  &
"인천광역시, 교통안전도시 ‘교통안전리더’ 배출...""교통안전문화 확산 나서""",  Copyright ⓒ  &
"경찰, ""부산 데이트폭력"" 영상 유포자 수사 ""엄정하게 처벌""","사진| 연합뉴스 부산 덕천동 지하상가에서 새벽에 한 남성이 다투던 여성을 폭행하는 모습이 담긴 폐쇄회로TV 영상이 유출돼 파문이 확산 중인 가운데 경찰이 영상 유포자에 대한 엄정 처벌 방침을 밝혔다.	영상 속 폭행 사건은 지난 7일 오전 1시13분쯤 부산 북구 덕천동 덕천지하상가에서 발생했다.	 연인으로 추정되는 남녀가 한동안 말싸움을 벌이다 서로 주먹질과 발길질을 하기시작했다.	 이어 남성이 여성을 일방적으로 폭행하면서 주먹으로 여성의 얼굴을 때려 쓰러트린 뒤에는 휴대전화를 손에 든 채 바닥에 쓰러진 여성을 수차례 폭행하는 모습이 영상에 담겼다.	이 장면이 담긴 CCTV 영상은 온라인 커뮤니티에 공개됐고, 순식간에 다른 커뮤니티와 사회관계망서비스 등을 통해 퍼져나갔다.10일 경찰에 따르면 영상 속 남성 A씨는 인터넷에 떠도는 자신의 영상을 보고 부산 북부경찰서로 자진 출석해 조사를 받고 있다.	 경찰은 B씨의 소재도 추적해 조사한다는 방침이다.	 한편 A씨는 자신의 동의없이 제3자가 해당 영상을 유포했다면서 영상이 확산된 데 대해 피해를 호소해 경찰은 강력팀 3개팀을 가동해 영상 유포에 대한 수사에 들어갔다.	  경찰은 본인 동의 없는 영상 유포 행위가 개인정보보호법에 위반돼 처벌이 가능하다고 보고 영상 유포자를 끝까지 추적해 엄정하게 처벌할 계획이다.	 이에 대해 부산경찰청 관계자는 ""개인을 특정할 수 있는 영상을 본인 동의없이 유포한 것은 불법 행위""라면서 ""영상 속 당사자가 문제 삼지 않아도 경찰이 인지했기 때문에 개인정보보호법 위반으로 처벌이 가능하다""고 설명했다."
"""박사방"" 관련 조사 앞둔 40대 진안서 숨진 채 발견",  Copyright ⓒ  &
"영암군, ‘고맙습니다! 교통안전 릴레이’ 캠페인 진행",  Copyright ⓒ  &
"전남경찰, 개정 형소법 시행 위한 수사현장 구현",  Copyright ⓒ  &
"경기도, 일본산 수산물 원산지표시 집중 수사",  Copyright ⓒ  &
"광주광역시, 남구·광산구 부동산 불법거래 ‘집중 단속’",  Copyright ⓒ  &
"선진 장례문화 리더, 투명경영과 체계적 장례시스템으로 정평",  Copyright ⓒ  &
"바이든 당선확정에 CNN 평론가 눈물 ""숨쉴 수 없었던 지난 4년""",  Copyright ⓒ  &
"""대선불복"" 美시위대 의사당 난입, 의회 지도부 인근 군 기지로 긴급대피",  Copyright ⓒ  &
"경기도의회, 교사 채용비리 B학교법인 재발방지 촉구",  Copyright ⓒ  &
